name
Aaron Sloman
Abhay Bhushan
Ada Lovelace
Adam Dunkels
Adam Ries
Adele Goldberg
Adi Shamir
Adriaan van Wijngaarden
Alain Colmerauer
Alan Dix
Alan Edelman
Alan H. Borning
Alan Kay
Alan Mycroft
Alan Perlis
Alan Turing
Alberto Ciaramella
Alex Krizhevsky
Alexander Dewdney
Alexander Stepanov
Alfred Aho
Allen Newell
Alonzo Church
Alston Householder
Amir Pnueli
Anders P. Ravn
Andrew Appel
Andrew Barto
Andrew Booth
Andrew Chi-Chih Yao
Andrew Herbert
Andrew Koenig
Andrew McCallum
Andrew Ng
Andrew S. Tanenbaum
Andrew V. Goldberg
Andrew Viterbi
Andrey Ershov
Andrey Nikolaevich Kolmogorov
Andries van Dam
Angie Jones
Anil K. Jain
Anita Borg
Annie Easley
Anthony James Barr
Aravind K. Joshi
Arif Zaman
Arne Sølvberg
Arvind Mithal
Ashok Goel
Austin Tate
Avie Tevanian
Avinash Kak
Azriel Rosenfeld
Barbara Engelhardt
Barbara Liskov
Barry Boehm
Beatrice Helen Worsley
Ben Shneiderman
Bernard Galler
Bernard Richards
Bernard Vauquois
Bernard de Neumann
Bernhard Schölkopf
Bernhard Thalheim
Bert Bos
Bert Sutherland
Bertrand Meyer
Betty Holberton
Bill Gates
Bill Gropp
Bill Joy
Bjarne Stroustrup
Bonnie Nardi
Brad A. Myers
Brendan Eich
Bri Holt
Brian Cantwell Smith
Brian Harris
Brian Kernighan
Brian Randell
Bruce Arden
Bruce Schneier
Bryan Cantrill
Butler Lampson
Börje Langefors
C. A. R. Hoare
C. J. van Rijsbergen
Carl Hewitt
Carl Kesselman
Carl Sassenrath
Carol Spradling
Carroll Morgan
Cecilia Berdichevsky
Cecilia R. Aragon
Chai Keong Toh
Charles Babbage
Charles Bachman
Charles E. Leiserson
Charles Geschke
Charles H. Lindsey
Charles H. Moore
Charles P. Thacker
Charles Stark Draper
Charlotte Froese Fischer
Chris Lattner
Chris McKinstry
Christopher J. Date
Christopher Riche Evans
Christopher Strachey
Christos Papadimitriou
Cicely Popplewell
Claude Sammut
Claude Shannon
Cleve Moler
Cliff Jones
Cliff Shaw
Colette Rolland
Conor McBride
Corrado Böhm
D. R. Fulkerson
D. Richard Kuhn
DJ Patil
Damien Coyle
Dan Ingalls
Dan Jurafsky
Dan Klein
Dana Scott
Danese Cooper
Daniel J. Bernstein
Daniel P. Friedman
Daniel Siewiorek
Daniel Sleator
Daniel Thalmann
Danny Hillis
Daphne Koller
Darrell Long
David A. Huffman
David Bader
David Blei
David C. Evans
David Canfield Smith
David E. Shaw
David Eppstein
David F. Bacon
David Gelernter
David Gries
David H. D. Warren
David J. Brown
David Karger
David Korn
David Liddle
