name
APJ Abdul Kalam
Aage Bohr
Aaldert Wapstra
Abdul Qadeer Khan
Abdus Salam
Abraham Bennet
Abraham H. Taub
Abraham Pais
Abram Alikhanov
Abram Ioffe
Abu sahl Al-Quhi
Abū Rayhān al-Bīrūnī
Adam Riess
Adolf Kratzer
Adolfas Jucys
Adriaan Fokker
Adrian Melott
Aiyalam Parameswaran Balachandran
Akira Tonomura
Alain Aspect
Alain Haché
Alan Andrew Watson
Alan Guth
Alan Schoen
Alan Walsh
Albert Abraham Michelson
Albert Einstein
Albert Fert
Alejandro Corichi
Aleksandr Mikhailovich Lyapunov
Aleksandr Stoletov
Alessandro Volta
Alexander Animalu
Alexander Friedman
Alexander Graham Bell
Alexander Hamilton
Alexander M. Polyakov
Alexander Prokhorov
Alexei Alexeyevich Abrikosov
Alexei Yuryevich Smirnov
Alfred Kastler
Alfred Lee Loomis
Alfred-Marie Liénard
Ali Javan
Ali Moustafa
Alladi Ramakrishnan
Allan McLeod Cormack
Alvin Weinberg
Amanda Barnard
Amedeo Avogadro
Amos Dolbear
Amrom Harry Katz
Amédée Mouchez
Anatoly Vlasov
Anders Jonas Ångström
Andre Geim
Andrea M. Ghez
Andreas Jaszlinszky
Andrei Dmitrievich Sakharov
Andrew Strominger
André-Marie Ampère
Anja Cetti Andersen
Ann Nelson
Anna McPherson
Anne L'Huillier
Annie Jump Cannon
Antal István Jákli
Anthony Ichiro Sanda
Anthony James Leggett
Anthony M. Johnson
Anthony Zee
Anton Zeilinger
Antonella De Santo
Antonino Zichichi
Antony Garrett Lisi
Antony Hewish
Archibald Howie
Archibald Low
Ari Brynjolfsson
Aristarchus of Samos
Arno Allan Penzias
Arnold Sommerfeld
Arpad Elo
Arsenij Sokolov
Artem Alikhanian
Arthur Alan Middleton
Arthur B. McDonald
Arthur Compton
Arthur Foley
Arthur Iberall
Arthur Jeffrey Dempster
Arthur Korn
Arthur Leonard Schawlow
Arthur Maitland
Arthur Milne
Arthur Stanley Eddington
Arthur Wightman
Ashok Das
Ashoke Sen
Ashutosh Kotwal
Asım Orhan Barut
Ataç İmamoğlu
Audrey Stuckes
August Krönig
Augustin-Jean Fresnel
Ayyub Guliyev
B. Roy Frieden
Balthasar van der Pol
Barton Zwiebach
Basilis C. Xanthopoulos
Bedangadas Mohanty
Behram Kursunoglu
Ben Roy Mottelson
Benjamin Franklin
Benjamin Lee
Benoît Clapeyron
Bent Sørensen
Bernhard Philberth
Bertha Swirles
Bertram Brockhouse
Beryl May Dent
Bice Sechi-Zorn
Bimla Buti
Blaise Pascal
Boris Chirikov
Boris Jacobi
Boris Podolsky
Boris Shraiman
Boyd Bartlett
Brandon Carter
Brendan Scaife
Brian Cox
Brian David Josephson
Brian Greene
Brian May
Brian Schmidt
Bruno Pontecorvo
Bruno Rossi
Bruno Touschek
Bruno Zumino
Burchard de Volder
Burton Richter
Carl August Steinheil
Carl David Anderson
Carl Eckart
Carl Friedrich Gauss
Carl Friedrich von Weizsäcker
Carl Hermann
Carl M. Bender
Carl Ramsauer
Carl Richard Hagen
Carl Sagan
Carl Wieman
Carl-Gustav Arvid Rossby
Carlo Marangoni
Carlo Rovelli
Carlo Rubbia
Carol Hirschmugl
Carolina Henriette MacGillavry
Cecil Frank Powell
Cecilia Payne-Gaposchkin
Cesar Lattes
Chandrasekhara Venkata Raman
Chang Kee Jung
Charles Critchfield
Charles Galton Darwin
Charles Glover Barkla
Charles H. Henry
Charles K. Kao
Charles Lambert Manneback
Charles Thomson Rees Wilson
Charles Thorn
Charles Townes
Charles Édouard Guillaume
Charles-Augustin de Coulomb
Charlotte  Houtermans
Charlotte Riefenstahl
Chen Ning Yang
Chennupati Jagadish
Chien-Shiung Wu
Chris Lintott
Christiaan Huygens
Christian Doppler
Christian Gerthsen
Christine Muschik
Christine Wilson 
Christof Wetterich
Christophorus Buys Ballot
Claude Cohen-Tannoudji
Claudia Draxl
Clemens C. J. Roothaan
Clifford Shull
Clinton Davisson
Colin Webb
Cornelis Bakker
Craige Schensted
Cumrun Vafa
Curtis Callan
Céline Bœhm
Daniel Bernoulli
Daniel Chee Tsui
Daniel Friedan
Daniel Gabriel Fahrenheit
Daniel Greenberger
Daniel Zajfman
David Awschalom
David Bohm
David Brewster
David Carroll
David Deutsch
David Enskog
David Finkelstein
David Gross
David J. Griffiths
David J. Wineland
David Lee
David Lindley
David M. Dennison
David Merritt
David Olive
David Ruelle
David Z Albert
Daya Shankar Kulshreshtha
Deborah S. Jin
Denis Evans
Denis Weaire
Dennis Gabor
Dennis William Sciama
Derek Abbott
Deryck Goodwin
Dezhao Wang
Dmitry Shirkov
Dmitry Zubarev
Domenica Garzón
Donald Arthur Glaser
Donna Strickland
Dorothy Crowfoot Hodgkin
Douglas Dean Osheroff
Douglas Hartree
Edward Bouchet
Edward Condon
Edward Mills Purcell
Edward P. Ney
Edward Ramberg
Edward Teller
Edward Victor Appleton
Edward Witten
Edwin C. Kemble
Edwin Ernest Salpeter
Edwin Hall
Edwin Jaynes
Edwin Powell Hubble
Egon Orowan
Elephter Andronikashvili
Elmer Imes
Emil Wiechert
Emil Wolf
Emilio G. Segre
Emmy Noether
Enge Wang
Enrico Fermi
Erhard Kietz
Eric Allin Cornell
Eric Poisson
Erik Verlinde
Ernest Courant
Ernest Esclangon
Ernest Lawrence
Ernest Rutherford
Ernest Walton
Ernest William Titterton
Ernst August Friedrich Ruska
