name
A. D. Hope
A. E. Housman
A. E. Stallings
A. R. Ammons
A. S. J. Tessimond
A. W. Yrjänä
Ab'ul Hasan Yamīn ud-Dīn Khusrow
Abby B. Hyde
Abd al-Wahhab Abu Zayd
Abdillahi Suldaan Mohammed Timacade
Abdulrahman Adel Al-Shammari
Abhay K
Abhi Subedi
Abolqasem Lahouti
Abraham Cowley
Abraham Regelson
Abraham ben Daniel
Abu Sa'id Abu'l-Khayr
Acharya Hemachandra
Ada Jafarey
Ada Limón
Adaliza Cutter Phelps
Adam Asnyk
Adam Lindsay Gordon
Adam Mickiewicz
Adam Naruszewicz
Adam Ważyk
Adam Zagajewski
Addepalli Ramamohana Rao
Addie L. Ballou
Adeena Karasick
Adrian Blevins
Adrian Henri
Adrian Mitchell
Adrienne Rich
Adélia Prado
Aeneas Francon Williams
Aganice Ainianos
Agha Shahid Ali
Agnes Miegel
Agnieszka Osiecka
Ahmad Faraz
Ahmad Shamlou
Ahmet Haşim
Aimee Nezhukumatathil
Aimé Césaire
Aja Monet
Akazome Emon
Akiko Yosano
Akim Samar
Al Alvarez
Aladár Komját
Alain Tasso
Alamgir Hashmi
Alan Bold
Alan Davies
Alan Dugan
Alan Moore
Alan Ross
Alasdair mac Mhaighstir Alasdair
Albert Wass
Alberto Ríos
Alcaeus of Messene
Alcaeus of Mytilene
Alda Lara
Alda Merini
Aldous Huxley
Aleister Crowley
Aleksa Šantić
Aleksander Fredro
Aleksander Stavre Drenova
Aleksander Wat
Alessandro Manzoni
Alessio Zanelli
Alex Grant
Alexander Barclay
Alexander Blok
Alexander Hume
Alexander Lenard
Alexander Montgomerie
Alexander Pope
Alexander Pushkin
Alexander Scott
Aleš Debeljak
Alfonsina Storni
Alfonso Vallejo
Alfred Andersch
Alfred Corn
Alfred Noyes
Alfred de Musset
Alfred de Vigny
Alfred Tennyson
Lord Tennyson
Algernon Charles Swinburne
Ali Ahmad Said
Ali al-Hujwiri
Ali al-Marhun
Alice B. Fogel
Alice Duer Miller
Alice Fulton
Alice May Douglas
Alice Notley
Alice Oswald
Alice Walker
Alishetty Prabhakar
Alison Brackenbury
Alison Calder
Alison Cockburn
Allamraju Subrahmanyakavi
Allan Cunningham
Allan Ramsay
Allasani Peddana
Allen Curnow
Allen Ginsberg
Allen Tate
Allen Upward
Allison Hedge Coke
Alphonse de Lamartine
Alter Esselin
Alun Lewis
Alun Llywelyn-Williams
Ama Ata Aidoo
Ambrose Philips
Amina Al Adwan
Amiri Baraka
Ammiel Alcalay
Amos Bronson Alcott
Amy Clampitt
Amy Lowell
Amy Parkinson
Amy Uyematsu
Anastasia Afanasieva
Anatol Stern
Anatole France
Anatoly Kudryavitsky
Anders Abraham Grafström
Andrea Cheng
Andrea Hollander Budy
Andrea Zanzotto
Andrei Bely
Andrei Voznesensky
Andrew Crozier
Andrew Marvell
Andrew Motion
Andrew Park
Andrew Young
Andrus Rõuk
Andrzej Bursa
Andrzej Krzycki
Andrzej Stasiuk
Andrzej Tadeusz Kijowski
André Breton
Angela Readman
Angelina Weld Grimké
Angus Calder
Angus Peter Campbell
Anica Černej
Anis Mojgani
Ann Batten Cristall
Ann Elizabeth Carson
Ann Griffiths
Ann Lauterbach
Ann Sansom
Ann Stanford
Ann Townsend
Anna Akhmatova
Anna Jókai
Anna Kamieńska
Anna Laetitia Barbauld
Anna Stanisławska
Anna Wickham
Anna Świrszczyńska
Anne  Bradstreet
Anne Bannerman
Anne Brontë
Anne Carson
Anne Elizabeth Wilson
"Anne Finch, Countess of Winchilsea"
Anne Hébert
Anne Morrow Lindbergh
Anne Rice
Anne Ridler
Anne Sexton
Anne Waldman
Annette von Droste-Hülshoff
Annie Finch
Anthony Burgess
Anthony Butts
Anthony Hecht
Anthony Joseph
Anthony Munday
Anthony Thwaite
Antjie Krog
Antoine Héroet
Anton Aškerc
Anton Martin Slomšek
Anton Schosser
Antoni Edward Odyniec
Antoni Lange
Antoni Malczewski
Antoni Słonimski
Antonin Artaud
Antonio Machado
Antonio Porchia
Antony Theodore
Aonghas MacNeacail
Ap Chuni Dorji
Aphra Behn
Apirana Taylor
Apollo Korzeniowski
Apollonius of Rhodes
Archibald MacLeish
Aref Qazvini
Aria Aber
Arlo Bates
Arna Wendell Bontemps
Arno Schmidt
Arnórr Þórðarson jarlaskáld
Arthur Chapman
Arthur Hallam
Arthur Hugh Clough
Arthur Kelton
Arthur Machen
Arthur Rimbaud
Arthur Schnitzler
Arthur Sze
Arthur Talmage Abernethy
Arthur Waley
Arthur William Symons
Artur Adson
Artur Alliksaar
Artur Oppman
Asadi Tusi
Ashok Chakradhar
Atala Kisfaludy
Attar of Nishapur
Attila József
Attila Végh
Atukuri Molla
Audre Lorde
August Alle
August Buchner
August Kleinzahler
August Silberstein
Ausiàs March
Austin Clarke
Ave Alavainu
Avetik Isahakyan
Avraham Shlonsky
Ayinampudi Srilakshmi
Ayo Ayoola-Amale
Ayyalaraju Ramabhadrudu
B. P. Nichol
Baba Tahir
Babette Deutsch
Bai Juyi
Baltasar del Alcázar
Balázs Birtalan
Banjo Paterson
Barbara Guest
Barbara Holland
Barbara Rosiek
Barnabe Googe
Barrett Watten
Barry Callaghan
Basil Bunting
Beatrice Redpath
Belayet Hossain Birbhumi
Bella Akhmadulina
Bellamy Bach
Ben Jonson
Ben Lerner
Ben Mazer
Ben Purkert
Benito Pastoriza Iyodo
Benjamin Alire Sáenz
Benjamin Paul Blood
Benjamin Saltman
Benjamin Zephaniah
Bennie Lee Sinclair
Bernadette Mayer
Bernard André
Bernard Barton
Bernard Spencer
Bertalan Szemere
Bertha Hirsch Baruch
Bertolt Brecht
Beth Gylys
Betti Alver
Bettina von Arnim
Bhupi Sherchan
Biernat of Lublin
Bill Bissett
Bill Griffiths
Bill Manhire
Billy Collins
Billy Edd Wheeler
Bimal Guha
Bjørnstjerne Martinius Bjørnson
Blaga Dimitrova
Blaise Cendrars
Bliss Carman
Bo Bergman
Bob Dylan
Bob Kaufman
Bogi Takács
Bolesław Leśmian
Boris Pasternak
Boris Slutsky
Botho Strauß
Brad Leithauser
Branko Miljković
Branko Radičević
Brenda Shaughnessy
Breyten Breytenbach
Brian P. Cleary
Brian Patten
Brion Gysin
Brother Antoninus
Bruce Andrews
Bruce Larkin
Bruce Smith
Bruno Jasieński
Bryan Procter
Burns Singer
Bálint Balassi
Béla Balázs
Béla Kondor
C. J. Stevens
C. P. Cavafy
C. S. Lewis
Cali Xuseen Xirsi
Calvin Trillin
Calvin Ziegler
Camille Dungy
Camille Martin
Campbell McGrath
Cao Cao
Cao Pi
Cao Zhi
Carl Rakosi
Carl Sandburg
Carla Harryman
Carlos Drummond de Andrade
Carlos Martínez Aguirre
Carmen Camacho 
Carol Ann Duffy
Caroline Anne Southey
Caroline Norton
Carolyn D. Wright
Carolyn Forché
Carolyn Kizer
Carolyn Kreiter-Foronda
Carson Cistulli
Catherine Barnett
Cathy Smith Bowers
Cecil Day-Lewis
Cecilia del Nacimiento
Cecília Meireles
Cemal Süreya
Cesare Pavese
Cezary Geroń
Ch'oe Ch'i-wŏn
Chairil Anwar
Charles Baudelaire
Charles Baxter
Charles Bernstein
Charles Bukowski
Charles Causley
Charles Churchill
Charles Cotton
Charles Cros
Charles Ghigna
Charles Harpur
Charles Hubert Sisson
Charles Lamb
Charles Montagu Doughty
"Charles Montagu, 1st Earl of Halifax"
Charles Olson
Charles Péguy
Charles Reznikoff
"Charles Sackville, 6th Earl of Dorset"
Charles Simic
Charles Sorley
Charles Tennyson Turner
Charles Tomlinson
Charles Wesley
Charles Wolfe
Charles Wright
"Charles, Duke of Orléans"
Charlotte Brontë
Charlotte Forten Grimké
Charlotte Lennox
Charlotte Maria Tucker
Charlotte Mew
Charlotte Smith
Chase Twichell
Chester Kallman
Chidiock Tichborne
Chris Abani
Chris Mansell
Christa Wolf
Christian Bök
Christian Falster
Christian Karlson Stead
Christian Morgenstern
Christian Wiman
Christina Rossetti
Christine Barkhuizen le Roux
Christine De Luca
Christine James
Christine Lavant
Christine de Pizan
Christopher Brennan
Christopher Marlowe
Christopher Middleton
Christopher Mwashinga
Christopher Nolan
Christopher Reid
Christopher Smart
Chrysanthemum Tran
Chrétien de Troyes
Cid Corman
Cirilo Bautista
Clarence Major
Claribel Alegría
Clark Ashton Smith
Clark Coolidge
Claude Esteban
Claude McKay
Claudia Emerson
Claudia Lars
Clayton Eshleman
Clemens Brentano
Cliff Ashby
Clive James
Clive Wilmer
Clément Marot
Cole Swensen
Coleman Barks
Colette Bryce
Colley Cibber
Compton Mackenzie
Comte de Lautréamont
Condetto Nénékhaly-Camara
Connie Wanek
Conrad Aiken
Cor van den Heuvel
Countee Cullen
Coventry Patmore
Craig Arnold
Craig Charles
Craig Raine
Cui Hao
Cynthia Huntington
Cyprian Godebski
Cyprian Norwid
Cyril Tourneur
Cyrus Cassells
Czesław Miłosz
César Vallejo
D. A. Levy
D. H. Lawrence
D. J. Enright
Dafydd Llwyd Mathau
Dahlia Ravikovitch
Damaso Alonso
Damond Jiniya
Dan Gerber
Dan Pagis
Dana Gioia
Dana Levin
Daniel Berrigan
Daniel Hoffman
Daniel Naborowski
Danilo Kiš
Dannie Abse
Dante Alighieri
Dante Gabriel Rossetti
David Antin
David Baker
David Bates
David Bottoms
David Budbill
David Campbell
David Constantine
David Daniels
David Gascoyne
David Harsent
David Herbison
David Holbrook
David Jones
David Lee
David Lehman
David Mallet
David Romtvedt
David Solway
David Wingate
David Wright
Dawn-Michelle Baude
Deborah Ager
Dejan Stojanović
Delmira Agustini
Delmore Schwartz
Denis Davydov
Denis Glover
Denise Levertov
Dennis Lee
Dennis O'Driscoll
Dennis Schmitz
Denys Corbet
Derek Mahon
Derek Walcott
Dermit McEncroe
Desanka Maksimović
Dezső Kosztolányi
Di Brandt
Diane Ackerman
Diane Wakoski
Diane di Prima
Dick Allen
Dick Higgins
Dietrich Bonhoeffer
Digby Mackworth Dolben
Dilwar Khan
Dilys Cadwaladr
Dimitris Varos
Djuna Barnes
Dobriša Cesarić
Dom Moraes
Don Blanding
Don Marquis
Don McKay
Don Paterson
Donald Allen
Donald Davidson
Donald Davie
Donald Hall
Donald Justice
Donna J. Stone
Dora Greenwell
Dorianne Laux
Dorothy Hewett
Dorothy Parker
Dorothy Wordsworth
Dositej Obradović
Douglas Dunn
Draginja Adamović
Dritëro Agolli
Du Fu
Du Mu
Duane Ackerson
Dudley Randall
Dugald Buchanan
Dulcie Deamer
Dumitru Găleșanu
Duncan Ban McIntyre
Duško Trifunović
Dylan Thomas
Dániel Berzsenyi
E. A. Markham
E. E. Cummings
E. J. Pratt
E. S. Elliott
E.B. White
Eamon Grennan
Earle Birney
Early medieval
Early modern
Early-modern women 
Easterine Kire
Eavan Boland
Ebenezer Elliott
Ed Skoog
Edgar Allan Poe
Edgar Bowers
Edgar Guest
Edgar Lee Masters
Edgell Rickword
Edip Cansever
Edith Gyömrői Ludowyk
Edith Sitwell
Edith Södergran
Edmund Blunden
Edmund Bolton
Edmund John
Edmund Spenser
Edmund Waller
Edna St. Vincent Millay
Eduard Mörike
Edward Alexander Wyon
Edward Balcerzan
Edward Baugh
Edward Coletti
Edward Davison
Edward Dorn
Edward Fitzgerald
Edward Garrard Marsh
"Edward Herbert, 1st Baron Herbert of Cherbury"
Edward King
Edward Lear
Edward Lucie-Smith
"Edward Otho Cresap Ord, II"
"Edward Plunkett, Baron Dunsany"
Edward Pollock
Edward Smyth Jones
Edward Stachura
Edward Storer
Edward Taylor
Edward Thomas
Edward Young
"Edward de Vere, 17th Earl of Oxford"
Edwin Arlington Robinson
Edwin Markham
Edwin Morgan
Edwin Muir
Egill Skallagrímsson
Eila Kivikk'aho
Eino Leino
Elaine Feinstein
Elaine Terranova
Eleanor Farjeon
Eleanor Hallowell Abbott
Eleanor Wilner
Eli Siegel
Elijah Fenton
Elinor Wylie
Elisabeth Eybers
Elizabeth Akers Allen
Elizabeth Barrett Browning
Elizabeth Benger
Elizabeth Beverley
Elizabeth Bishop
Elizabeth Carter
Elizabeth Clark
Elizabeth Daryush
Elizabeth Jennings
Elizabeth Roberts MacDonald
Elizabeth Treadwell
Ellen Bass
Ellen Hinsey
Else Lasker-Schüler
Elvis McGonagall
Elżbieta Drużbacka
Emelihter Kihleng
Emil Zegadłowicz
Emilia Lanier
Emily Brontë
Emily Dickinson
Emily Pauline Johnson
Emily Taylor
Emily Warn
Emma Roberts
Emma Tatham
Emmett Williams
Endre Ady
Endre Kukorelly
Ennis Rees
Enrique Moya
Erasmus Darwin
Eric Magrane
Eric Stenbock
Erich Fried
Erich Kästner
Erich Mühsam
Erik Axel Karlfeldt
Erin Belieu
Ernest Dowson
Ernest Thayer
Ernesto Cardenal
Ernst Jandl
Ernst Moritz Arndt
Errapragada Erranna
Ervin Šinko
Erzsi Újvári
Esperanza Zambrano
Essex Hemphill
Etheridge Knight
Etienne-Paulin Gagne
Eugenio Montale
Eugeniusz Tkaczyszyn-Dycki
Eugeniusz Żytomirski
Eustache Deschamps
Eve Brodlique
Evelyn Lau
Ewa Lipska
Ezra Pound
F. M. Cornford
F. R. Scott
F. S. Flint
F. T. Prince
FP Jac
Faik Konitza
Faiz Ahmed Faiz
Fakhruddin As'ad Gurgani
Fan S. Noli
Fanny Howe
Farrukhi Sistani
Federico García Lorca
Felicia Hemans
Felipe Alfau
Ferenc Békássy
Ferenc Faludi
Ferenc Juhász
Ferenc Kölcsey
Ferenc Mező
Fern G. Z. Carr
Fernando Pessoa
Filippo Tommaso Marinetti
Fitz Hugh Ludlow
Flash fiction
Fleur Adcock
Flora Brovina
Florbela Espanca
Ford Madox Ford
Forough Farrokhzad
France Prešeren
Frances Browne
Frances Cornford
Francis Beaumont
Francis Ledwidge
Francis Quarles
Francis Thompson
Francis Turner Palgrave
Francis Vielé-Griffin
Francis Webb
Francisco Granizo Ribadeneira
Franciszek Dionizy Kniaźnin
Franciszek Karpiński
Franciszek Nowicki
