name
Adrian Piper
Aesara of Lucania
Agnes Callard
Agnes Taubert
Akka Mahadevi
Alenka Zupančič
Alia Al-Saji
Alice Ambrose
Alice Crary
Alison Gopnik
Alison Jaggar
Alison McIntyre
Alison Simmons
Alison Stone
Alison Wylie
Amalie J. Hathaway
Amia Srinivasan
Amie Thomasson
Amy Allen
Amélie Rorty
Ana Marta González
Anita Avramides
Anita Superson
Ann Cudd
Ann Garry
Ann-Sophie Barwich
Anna Brackett
Anna Maria van Schurman
Anne Conway
Annette Baier
Antoinette Brown Blackwell
Arete of Cyrene
Aristoclea of Delphi
Aspasia of Miletus
Avital Ronell
Ayn Rand
Babette Babich
Ban Zhao
Barbara Cassin
Barbara Johnson
Bertha von Suttner
Béatrice Longuenesse
Cailin O'Connor
Carla Fehr
Carrie Figdor
Carrie Ichikawa Jenkins
Catharine Macaulay
Catharine Trotter Cockburn
Catherine of Alexandria
Catherine of Siena
Celia Green
Charlotte Perkins Gilman
Charlotte Witt
Chris Cuomo
Christia Mercer
Christine Korsgaard
Christine de Pizan
Claudia Card
Constance Jones
Constance Naden
Cynthia M. Grund
Cynthia Nielsen
Cécile Fabre
Damaris Cudworth Masham
Debra Satz
Diotima of Mantinea
Divya Dwivedi
Donna Haraway
Dorit Bar-On
Dorothy Edgington
Dorothy Emmet
Dorothy Maud Wrinch
Dorothy Smith
Dorthe Jørgensen
Edith Stein
Eleonore Stump
Elisabeth Camp
Elisabeth Lloyd
Elisabeth of Bohemia
Elizabeth Anderson
Ella Lyman Cabot
Ellen Mitchell
Elsie Whetnall
Emma Goldman
Eva Kittay
Evelyn Fox Keller
Ewa Ziarek
Felicia Nimue Ackerman
Fiona Macpherson
Frances Egan
Frances Power Cobbe
Frances Wright
G. E. M. Anscombe
Gabrielle Suchon
Gail Fine
Gargi Vachaknavi
Gauri Ma
Gayatri Chakravorty Spivak
Genevieve Lloyd
George Eliot
Georgia Warnke
Germaine Greer
Germaine de Staël
Giannina Braschi
Gila Sher
Grete Hermann
Hannah Arendt
Hannah Ginsborg
Harriet Martineau
Harriet Taylor Mill
Heather Douglas
Hedwig Conrad-Martius
Helen Beebee
Helen Knight
Helen Longino
Helena Blavatsky
Helena Roerich
Helene Stöcker
Helene Weiss
Helene von Druskowitz
Hilda D. Oakeley
Hilde Lindemann
Hildegard of Bingen
Hipparchia of Maroneia
Holly Martin Smith
Hypatia of Alexandria
Héloïse d'Argenteuil
Hélène Cixous
Inga Bostad
Iris Murdoch
Isabelle Stengers
Jan Zwicky
Jane Heal
Janet Broughton
Janet Radcliffe Richards
Jeanne Hersch
Jenann Ismael
Jennifer Hornsby
Jennifer Lackey
Jennifer Nagel
Jennifer Saul
Jennifer Whiting
Jessica Wilson
Joan Callahan
Josina Carolina van Lynden
Joyce Mitchell Cook
Judith Butler
Judith Jarvis Thomson
Judith Sargent Murray
Julia Annas
Julia Kristeva
Juliet Floyd
Karen Barad
Karen Ng
Kate Manne
Kate Raworth
Kathleen Nott
Kathleen Stock
Kathryn Gines
Kathryn Norlock
Kelly Oliver
Kimberley Brownlee
Käte Hamburger
Lady Mary Shepherd
Laura Bassi
Lauren Barthold
Laurie Shrage
Lilli Alanen
Linda Martín Alcoff
Linda Trinkaus Zagzebski
Lisa H. Schwartzman
Lisa Tessman
Londa Schiebinger
Lorraine Code
Lou Andreas-Salomé
Louise Antony
Luce Irigaray
Lydia Goehr
Lynne Tirrell
Madame de Maintenon
Madeleine de Scudéry
Marcia Baron
Margaret Atherton
Margaret Cavendish
Margaret Dauler Wilson
Margaret Gilbert
Margaret MacDonald
Margaret Urban Walker
Marguerite Porete
Maria Ossowska
Maria Rakhmaninova
Marie de Gournay
Marietta Kies
Marilena de Souza Chaui
Marilyn Frye
Marilyn McCord Adams
Marjorie Grene
Marjorie Silliman Harris
Martha Klein
Martha Kneale
Martha Nussbaum
Mary Astell
Mary Hesse
Mary Kate McGowan
Mary Louise Gill
Mary Midgley
"Mary Warnock, Baroness Warnock"
Mary Whiton Calkins
Mary Wollstonecraft
Mary the Jewess
María Zambrano
May Gorslin Preston Slosson
Mechthild of Magdeburg
Megan Craig
Michele Moody-Adams
Michele Moses
Michèle Le Dœuff
Miranda Fricker
Miriam Solomon
Moderata Fonte
Monique Wittig
Nancey Murphy
Nancy Bauer
Nancy Cartwright
Nancy Fraser
Nancy Sherman
Nancy Snow
Naomi Scheman
Naomi Zack
Nel Noddings
Nicarete of Megara
Nomy Arpaly
Noëlle McAfee
Ofelia Schutte
Olga Plümacher
Olympe de Gouges
Onora O'Neill
Pamela Hieronymi
Patricia Churchland
Patricia Greenspan
Patricia Kitcher
Peg Birmingham
Peg O'Connor
Peggy DesAutels
Penelope Deutscher
Penelope Maddy
Philippa Foot
Ptolemais of Cyrene
Rachel Ankeny
Rae Helen Langton
Rae Langton
Rahel Jaeggi
Raya Dunayevskaya
Rebecca Goldstein
Rebecca Whisnant
Renata Salecl
Rosa Luxemburg
Rosalind Hursthouse
Rosemary Radford Ruether
Ruth Barcan Marcus
Ruth Chang
Ruth Hagengruber
Ruth L. Saw
Ruth Millikan
Sabina Leonelli
Sally Haslanger
Sally Scholz
Sally Sedgwick
Samantha Brennan
Sandra Bartky
Sandra Harding
Sarah Kofman
Seana Shiffrin
Seyla Benhabib
Sharon Lloyd
Simone Weil
Simone de Beauvoir
Sister Nivedita
Sophie de Grouchy
Sor Juana
Sor Juana Inés de la Cruz
Sosipatra of Ephesus
Susan Haack
Susan Hurley
Susan James
Susan Mendus
Susan Neiman
Susan Sherwin
Susan Stebbing
Susan Wolf
Susanna Schellenberg
Susanna Siegel
Susanne Bobzien
Susanne Langer
Susanne Sreedhar
Tamar Gendler
Teresa Blankmeyer Burke
Teresa of Ávila
Theano of Croton
Thelma Z. Lavine
Tina Fernandes Botts
Tullia d'Aragona
Ubhaya Bharati
Uma Narayan
Ursula Wolf
Valerie Tiberius
Vandana Shiva
Vernon Lee
Victoria Camps
"Victoria, Lady Welby"
Virginia Held
Xie Daoyun
Yvanka B. Raynova
Ágnes Heller
Émilie du Châtelet
İoanna Kuçuradi
